coverage_exit_status=0

  ...laboration.ts |      92 |       90 |     100 |   91.66 | 40,91             
 ...time/live-read |   99.15 |    87.03 |     100 |   99.13 |                   
  ...ead-client.ts |     100 |      100 |     100 |     100 |                   
  ...ttp-client.ts |     100 |      100 |     100 |     100 |                   
  ...ead-client.ts |     100 |    81.81 |     100 |     100 | ...04-109,139-140 
  ...cy-wrapper.ts |   91.66 |       50 |     100 |   91.66 | 50                
  ...-redaction.ts |     100 |      100 |     100 |     100 |                   
  ...nt-fixture.ts |     100 |       95 |     100 |     100 | 65                
 src/runtime/loop  |     100 |     90.9 |     100 |     100 |                   
  ...agent-loop.ts |     100 |     90.9 |     100 |     100 | 94                
 ...runtime/memory |     100 |      100 |     100 |     100 |                   
  session-store.ts |     100 |      100 |     100 |     100 |                   
 .../observability |     100 |       75 |     100 |     100 |                   
  ...-event-bus.ts |     100 |       75 |     100 |     100 | 36-45             
 ...ntime/operator |     100 |      100 |     100 |     100 |                   
  ...eview-gate.ts |     100 |      100 |     100 |     100 |                   
  ...iew-packet.ts |     100 |      100 |     100 |     100 |                   
 src/runtime/patch |   71.05 |    67.85 |   66.66 |   73.52 |                   
  ...pplication.ts |   71.05 |    67.85 |   66.66 |   73.52 | ...86,108,124-125 
 ...untime/planner |   82.35 |    72.72 |     100 |   82.35 |                   
  goal-planner.ts  |   82.35 |    72.72 |     100 |   82.35 | 10,15,24          
 ...runtime/policy |   93.75 |    91.66 |     100 |   93.75 |                   
  ...ead-policy.ts |     100 |      100 |     100 |     100 |                   
  ...ime-policy.ts |   92.68 |    90.62 |     100 |   92.68 | ...10,234,265,319 
 ...untime/pr-prep |     100 |    96.66 |     100 |     100 |                   
  ...tion-audit.ts |     100 |      100 |     100 |     100 |                   
  ...reparation.ts |     100 |    96.42 |     100 |     100 | 99                
 ...ntime/recovery |   81.81 |     64.7 |     100 |   81.25 |                   
  change-ledger.ts |   81.81 |    63.63 |     100 |   80.95 | 22,26,30,61       
  rollback-plan.ts |   81.81 |    66.66 |     100 |   81.81 | 20,42             
 ...ntime/registry |     100 |    98.07 |     100 |     100 |                   
  ...ry-factory.ts |     100 |    97.87 |     100 |     100 | 196               
  ...e-registry.ts |     100 |      100 |     100 |     100 |                   
 ...time/renderers |    87.5 |       50 |    87.5 |   92.85 |                   
  ...w-renderer.ts |     100 |       50 |     100 |     100 | 18                
  ...l-renderer.ts |     100 |       50 |     100 |     100 | 22                
  ...s-renderer.ts |     100 |      100 |     100 |     100 |                   
  ...-renderers.ts |      60 |      100 |      60 |   66.66 | 6                 
 ...runtime/repair |     100 |    92.18 |     100 |     100 |                   
  repair-loop.ts   |     100 |    92.18 |     100 |     100 | ...88,202-215,261 
 ...untime/sandbox |    91.3 |    87.03 |   90.32 |   91.86 |                   
  ...iagnostics.ts |     100 |       75 |     100 |     100 | 49-50,68,97-119   
  ...box-runner.ts |   89.09 |    89.77 |   85.71 |   89.79 | ...73-379,450-462 
 ...untime/session |     100 |      100 |     100 |     100 |                   
  ...me-session.ts |     100 |      100 |     100 |     100 |                   
 src/runtime/tools |   86.73 |    78.61 |   90.56 |   87.04 |                   
  ...iness-tool.ts |   78.26 |    69.56 |     100 |   78.26 | 17,26,29,32,43    
  ...eview-tool.ts |   72.72 |     62.5 |     100 |   72.72 | 18,26,29,40-44    
  ...patch-tool.ts |   87.23 |       75 |     100 |   86.95 | 23,33,37,60,64,68 
  ...-execution.ts |     100 |      100 |     100 |     100 |                   
  bash-tool.ts     |      70 |    51.61 |   66.66 |   68.96 | 21-28,57,64,104   
  ...eview-tool.ts |     100 |    61.11 |     100 |     100 | 12-21,32-38       
  ...-file-tool.ts |   83.78 |       75 |     100 |   83.78 | 19,24,27,30,33,59 
  ...ecute-tool.ts |     100 |    96.96 |     100 |     100 | 79                
  git-tool.ts      |     100 |    96.77 |     100 |     100 | 40                
  ...te-pr-tool.ts |   92.15 |     91.3 |     100 |   92.15 | 26,37,65,71       
  ...ture-tools.ts |      92 |    84.61 |     100 |      92 | 21,26             
  ...ad-ci-tool.ts |      85 |    82.35 |     100 |      85 | 14,23,26          
  ...ad-pr-tool.ts |      90 |    88.23 |     100 |      90 | 14,26             
  ...-gate-tool.ts |   91.66 |    77.27 |     100 |   91.66 | 36,39             
  ...posal-tool.ts |     100 |      100 |     100 |     100 |                   
  glob-tool.ts     |   67.56 |     57.5 |      60 |   70.58 | 15-22,42,53,57,90 
  grep-tool.ts     |   77.94 |       50 |      60 |   79.36 | ...03-105,116,191 
  ...files-tool.ts |   75.67 |    61.53 |   71.42 |      75 | 26,51-62,99       
  ...xture-tool.ts |    8.33 |        0 |       0 |    8.33 | 14-35,43          
  ...olicy-tool.ts |    92.3 |     90.9 |     100 |    92.3 | 28                
  ...write-tool.ts |   94.44 |    86.66 |     100 |   94.44 | 44,47             
  mcp-call-tool.ts |     100 |    76.66 |     100 |     100 | 28-52,84-85       
  ...ecall-tool.ts |     100 |      100 |     100 |     100 |                   
  ...store-tool.ts |     100 |      100 |     100 |     100 |                   
  ...acket-tool.ts |     100 |    85.71 |     100 |     100 | 56-70             
  ...ation-tool.ts |     100 |      100 |     100 |     100 |                   
  pr-notes-tool.ts |    92.3 |    83.33 |     100 |    92.3 | 15                
  ...ation-tool.ts |     100 |    92.85 |     100 |     100 | 48-52             
  ...light-tool.ts |     100 |      100 |     100 |     100 |                   
